index, T_sto_HT [K], T_sto_LT [K], glide_cd [K], T_DH+ [K], T_DH- [K], glide_ev [K], W_dot_cp [W], p_ev [Pa], p_cd [Pa], rp_cp [-], Q_dot_cd [W], Q_dot_ev [W], COP [-], COP_tot [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_exp [-], m_dot_r [kg/s]
1,60.0,52.0,8.0,40.0,32.0,8.0,4950.198445772991,157153.97468185832,387876.81908613833,2.468132415176607,37259.00054853435,32510.308471766366,7.5267690692986395,6.377906025771181,1.1133777876526965,0.9724341533699055,2.0,0.20047993445377235
2,60.0,52.0,8.0,45.0,37.0,8.0,4898.185456819354,185918.28579650185,388085.9715733865,2.0874007627101765,43793.36624784655,39105.44100083111,8.940732570032955,7.481630136791123,1.3086384634332244,1.169623341753633,2.0,0.23598567362174636
3,60.0,52.0,8.0,50.0,42.0,8.0,4901.992187025143,218325.0837771573,387583.9816214309,1.7752608858129872,51332.4988629424,46657.541105605655,10.471762684324961,8.65907607154813,1.5339237010466604,1.3952234764117124,2.0,0.27578204489555896
4,60.0,52.0,8.0,55.0,47.0,8.0,5015.374738202155,254915.4225862873,387412.77717881097,1.5197698642485002,60094.29713058831,55323.69804139664,11.982015356270292,9.818449803754005,1.7957447758869134,1.6538601902996748,2.0,0.320461764983294
5,60.0,52.0,8.0,60.0,52.0,8.0,5298.25757378125,295689.57549150835,386704.4699344635,1.3078055568637013,70218.88642526131,65184.20313817885,13.253203614098291,10.81926386379548,2.0982889306908357,1.9478419391672162,2.0,0.3701014049106002
6,60.0,52.0,8.0,65.0,57.0,8.0,5846.20525997933,339639.854276945,385323.5095857822,1.1345061680293456,81601.17196781514,76039.21951091687,13.957972452048947,11.445072705991093,2.438415711045344,2.271086351741436,2.0,0.42350430146571594
7,60.0,52.0,8.0,70.0,62.0,8.0,6685.159844604486,391942.61292603536,384082.7793869919,0.9799464684884195,95583.03625655029,89205.96340919414,14.297793692052737,11.838765691762047,2.856223405827016,2.6627856179212053,2.0,0.48708056650120707
8,60.0,52.0,8.0,75.0,67.0,8.0,7617.859161860975,451462.0536424678,383364.91224035865,0.8491630894497321,111790.42411312973,104505.25125148715,14.67478221083577,12.259444798349517,3.3405344546937688,3.117365834555806,2.0,0.5597027019402696
9,60.0,52.0,8.0,80.0,72.0,8.0,8670.561593770924,517872.05772249505,382076.1578871633,0.7377809870018149,130349.70464608968,122036.78329764387,15.03359421836471,12.670699540217255,3.895125034043744,3.6375345230433203,2.0,0.6411941837550493
10,65.0,57.0,8.0,40.0,32.0,8.0,5660.848448841331,157780.2425726533,444188.22456030257,2.8152335002005495,36753.38897363055,31304.729206720673,6.492558369258812,5.615894911918801,1.0977245770687165,0.9363733927363007,2.0,0.20078952957454202
11,65.0,57.0,8.0,45.0,37.0,8.0,5572.159143527473,186632.86567962385,444830.9124127075,2.383454333152176,43021.04385852423,37671.393802380015,7.720713416539216,6.601014350213355,1.2849225198943128,1.126731738090369,2.0,0.23641117205819562
12,65.0,57.0,8.0,50.0,42.0,8.0,5518.220083565939,219135.9806711633,444786.65863841324,2.0297290170063977,50276.3277457365,44993.58735576838,9.11096820793116,7.69653033882699,1.5016182766398392,1.345465446296462,2.0,0.2763388516845237
13,65.0,57.0,8.0,55.0,47.0,8.0,5536.089072908646,255830.91927257602,444518.44445758074,1.7375477746064263,58707.22370118073,53422.21990361581,10.60445793556138,8.858499397265854,1.7534263943522064,1.5970169367549145,2.0,0.321245982351926
14,65.0,57.0,8.0,60.0,52.0,8.0,5671.671982094079,296718.22253004974,443887.9321149791,1.495991477469925,68392.49729341031,62990.387920459674,12.058612964454024,9.988420897955804,2.0426993880740367,1.8822860976882887,2.0,0.3710723672058485
15,65.0,57.0,8.0,65.0,57.0,8.0,6010.134403120138,342796.96854744805,443188.97187714017,1.2928614093499384,79716.18149110506,73995.47982578588,13.26362709122124,10.951994873223704,2.3809072865536174,2.2100453608518995,2.0,0.4271571381161777
16,65.0,57.0,8.0,70.0,62.0,8.0,6641.900916403022,391573.3811126921,441719.3154516736,1.1280626742208246,92247.23993818418,85915.93936547567,13.888680529751332,11.521608041498016,2.7551761966645345,2.5645788571686436,2.0,0.4865088608410115
17,65.0,57.0,8.0,75.0,67.0,8.0,7594.764755946639,450108.2546301445,440381.5977661542,0.9783904054992666,107779.70202594167,100519.58932286537,14.191315398090646,11.884327335019654,3.2190889364761635,2.998474523587368,2.0,0.557897570599867
18,65.0,57.0,8.0,80.0,72.0,8.0,8634.681746074417,515749.9314210008,439590.43945491,0.8523325213902497,125545.54245079565,117270.24788429565,14.539683817283988,12.280510152195943,3.7497066621132533,3.495459022093129,2.0,0.6384168038301322
19,70.0,62.0,8.0,40.0,32.0,8.0,6468.061031171669,158406.51046341908,506171.6072178792,3.195396488042515,36324.806949666076,30080.85067189007,5.616027241333242,4.946195739215113,1.0842904422841082,0.8997652723341465,2.0,0.201043598459091
20,70.0,62.0,8.0,45.0,37.0,8.0,6350.272447384415,187109.25226763848,507070.9518677981,2.710026071519386,42288.571772818505,36173.97744890964,6.659331882718915,5.804729794508212,1.262307993946108,1.081944796055747,2.0,0.23648608000812146
21,70.0,62.0,8.0,50.0,42.0,8.0,6257.606396199451,219946.87756482774,507908.09551408817,2.3092307612522753,49317.823534814925,43304.88278026436,7.88126008768593,6.793171169123626,1.4721301827467979,1.2949672800271723,2.0,0.276829839090946
22,70.0,62.0,8.0,55.0,47.0,8.0,6202.961824230925,256441.2503970114,507617.2661920015,1.9794680668813232,57347.767071373666,51403.63316081327,9.245223281457795,7.877956896017337,1.7118228820317896,1.536672809865751,2.0,0.3215121880122981
23,70.0,62.0,8.0,60.0,52.0,8.0,6231.132265488855,297746.8695696379,506997.4933435009,1.702780264579483,66692.52062817506,60741.94394049608,10.703114263446434,9.024263520245915,1.9907624778066633,1.8150978331825902,2.0,0.37195745049561585
24,70.0,62.0,8.0,65.0,57.0,8.0,6401.942531396359,343947.5772191114,506447.12246898864,1.4724543971605217,77539.40272785223,71432.77293574435,12.111855479424262,10.13325281256728,2.314540401955291,2.133504219597136,2.0,0.428247097842986
25,70.0,62.0,8.0,70.0,62.0,8.0,6798.703401241691,394980.672678183,505741.05707358115,1.2804197573627658,89965.15387401161,83482.05657110181,13.232692848106993,11.043963306979887,2.6854473478518135,2.4919277937993014,2.0,0.49045380412214606
26,70.0,62.0,8.0,75.0,67.0,8.0,7531.0956096511245,449332.89976219926,504167.4360186987,1.122035435832808,103828.676389021,96634.8439076634,13.78666289350572,11.563828252783836,3.0992715694160085,2.882593527290298,2.0,0.5568033126149227
27,70.0,62.0,8.0,80.0,72.0,8.0,8604.79900927393,514015.1074038689,502706.9257278713,0.9780002931565344,120885.47947302532,112642.13959016358,14.048611634361185,11.892566653162392,3.608414772448998,3.3575096002763583,2.0,0.636100186027324
28,75.0,67.0,8.0,40.0,32.0,8.0,7380.198501559422,159032.77835383266,574689.456144791,3.6136541290007655,35972.22936794208,28829.188740910024,4.874154720952454,4.361022756771852,1.0730427177728248,0.8623261071162905,2.0,0.20123638575496516
29,75.0,67.0,8.0,45.0,37.0,8.0,7243.416252110256,187823.8321505509,576199.4472004612,3.067765366104373,41713.99432115198,34715.013435429566,5.75888404991212,5.10640062650086,1.2443181482496424,1.0383079434523306,2.0,0.23678795364164582
30,75.0,67.0,8.0,50.0,42.0,8.0,7111.448321215783,220487.47549436137,576933.0398895649,2.6166249969346627,48398.20923463721,41541.635950859796,6.805675447327582,5.973841615105756,1.4437066282790678,1.242240039954116,2.0,0.27692736172199645
31,75.0,67.0,8.0,55.0,47.0,8.0,7009.836846875955,257356.74708308527,577465.7028379429,2.2438335477232054,56150.579924753634,49408.83458404941,8.010254896271663,6.955754464017695,1.6749579313166927,1.477039812243148,2.0,0.3220754434482625
32,75.0,67.0,8.0,60.0,52.0,8.0,6956.022675860093,298775.516607453,576959.6809214605,1.9310808578719671,65139.86224575994,58467.34315686244,9.364527012227656,8.04264322586874,1.943106002816428,1.7471279480275592,2.0,0.37269709882657837
33,75.0,67.0,8.0,65.0,57.0,8.0,7004.807003276559,345098.18589039845,576605.1920660955,1.6708438804984695,75510.49549523341,68807.0550071094,10.779810986928366,9.167885133529559,2.252459431351982,2.0550811086078196,2.0,0.4292382585677851
34,75.0,67.0,8.0,70.0,62.0,8.0,7207.7429668146715,396262.3114362007,575467.9465604149,1.4522399177320369,87388.70966420464,80502.5564577397,12.124282187441052,10.239513071096122,2.606783626380035,2.4029901292391145,2.0,0.49167269655110785
35,75.0,67.0,8.0,75.0,67.0,8.0,7676.017704813182,453450.66393367364,573786.3781600368,1.2653777440360405,101184.37504582503,93862.05280335779,13.181884010295889,11.112911949352897,3.018304917517218,2.799881853461376,2.0,0.5616151985223556
36,75.0,67.0,8.0,80.0,72.0,8.0,8523.49697420304,513318.5308366661,573065.0628979455,1.116392704475129,116380.11825723757,108220.96234779042,13.654034090640277,11.573972993378941,3.471590184531651,3.2257281453981035,2.0,0.6350688230022147
37,80.0,72.0,8.0,40.0,32.0,8.0,8395.69442202087,159659.046245054,649776.54487569,4.069775939149575,35723.83010242675,27575.050618895908,4.255017906407784,3.859118923925644,1.0648155562735186,0.8248128751533008,2.0,0.20136867572270395
38,80.0,72.0,8.0,45.0,37.0,8.0,8233.051225560486,188538.4120327228,651017.8927170596,3.4529721858698412,41196.22302123359,33224.131702604966,5.00376129002271,4.502669072794499,1.22793046005845,0.9937164485125677,2.0,0.2370353745562346
39,80.0,72.0,8.0,50.0,42.0,8.0,8085.8103587776695,221298.3723877629,652979.3535853128,2.9506739997217464,47621.652095259305,39801.76091509099,5.889533637597983,5.253538389295671,1.4194523885341415,1.1902116981597464,2.0,0.2772880816592368
