index, T_sto_HT [K], T_sto_LT [K], glide_cd [K], T_DH+ [K], T_DH- [K], glide_ev [K], W_dot_cp [W], p_ev [Pa], p_cd [Pa], rp_cp [-], Q_dot_cd [W], Q_dot_ev [W], COP [-], COP_tot [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_exp [-], m_dot_r [kg/s]
52,85.0,71.0,14.0,70.0,56.0,14.0,8689.50876157235,342992.0444067656,733807.2473518676,2.13942935213279,70947.78005628035,62581.18016373496,8.164763049671231,7.377565682731355,1.208013916914398,1.0678366752077244,2.0,0.4254672362286449
53,85.0,71.0,14.0,75.0,61.0,14.0,8639.167629852165,394621.6855659452,732643.3634694269,1.8565714715315482,81864.34036763204,73567.13711366407,9.475952299473198,8.503855223247696,1.3938880453295108,1.2545148595386035,2.0,0.48864817184092524
54,85.0,71.0,14.0,80.0,66.0,14.0,8717.64781414452,451950.2847929924,730749.1724820987,1.6168795486362069,94433.1871764781,86081.74860453734,10.832415944041554,9.663282479942934,1.6078953314293258,1.4668792626538512,2.0,0.5589098883502039
55,90.0,76.0,14.0,40.0,26.0,14.0,10666.163094694477,132530.890639048,798971.718625946,6.028569752858375,30585.7785357827,20203.914571321147,2.8675521144990332,2.6945045954489637,0.5203055599811465,0.34532016120488795,2.0,0.16632191696438287
56,90.0,76.0,14.0,45.0,31.0,14.0,10589.038493570724,157681.19440573815,807714.8995413767,5.122455487386791,34885.868228631945,24577.529522016317,3.2945265285241305,3.0870995575741857,0.593455915561913,0.42008266006321354,2.0,0.19755260095135724
57,90.0,76.0,14.0,50.0,36.0,14.0,10456.76522321021,186840.28001353686,813735.1661761749,4.3552448439769975,39960.391592429565,29786.582061084264,3.8214869263519518,3.568099236440471,0.6797804378345506,0.5090528610217567,2.0,0.2335523515001885
58,90.0,76.0,14.0,55.0,41.0,14.0,10309.601679005402,219514.35346224182,819114.8983541016,3.731486736219259,45761.580943550776,35744.35805376071,4.43873414011137,4.127378459363012,0.7784665337389112,0.6107211451432278,2.0,0.2736928442857836
59,90.0,76.0,14.0,60.0,46.0,14.0,10134.7250943662,256429.35275247874,822529.3861621298,3.2076257157505887,52531.004733633716,42693.25221191738,5.183268835070348,4.796094562583644,0.8936236101470911,0.7291940319050965,2.0,0.3189011418688133
60,90.0,76.0,14.0,65.0,51.0,14.0,9955.767818766206,297936.15209878096,824792.3256911039,2.7683526147496305,60317.86199304705,50677.279320268884,6.058584640689431,5.57485725651397,1.0260886092679196,0.8651771958970812,2.0,0.3696414506415673
61,90.0,76.0,14.0,70.0,56.0,14.0,9790.361025374079,343694.34026467253,825644.242710642,2.4022631332096682,69222.74087063076,59759.37262634655,7.070499309598834,6.466182897039602,1.177572671886923,1.0196875420191645,2.0,0.4255679798632073
62,90.0,76.0,14.0,75.0,61.0,14.0,9656.778540719979,395402.60683688254,824689.3051074237,2.0856951644925217,79617.0159212915,70310.59613803637,8.244676585009012,7.4898858631929075,1.3543933826791945,1.1989821963834613,2.0,0.4888595606407098
63,90.0,76.0,14.0,80.0,66.0,14.0,9620.434526673485,452815.33353146503,823718.1038776643,1.8191038219787363,91650.15788132201,82389.29351173023,9.526613130333565,8.59860891872913,1.559093441516068,1.4039578432853574,2.0,0.5593407268197681
