index, T_sto_HT [K], T_sto_LT [K], glide_cd [K], T_DH+ [K], T_DH- [K], glide_ev [K], W_dot_cp [W], p_ev [Pa], p_cd [Pa], rp_cp [-], Q_dot_cd [W], Q_dot_ev [W], COP [-], COP_tot [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_exp [-], m_dot_r [kg/s]
1,60.0,55.0,5.0,40.0,35.0,5.0,5223.387594747748,170806.52135785687,413033.31756202993,2.4181355271364815,39971.121997543196,34958.758786091574,7.652336969543519,6.2976827824751584,1.910808239333517,1.6730645448194073,2.0,0.21715593556568483
2,60.0,55.0,5.0,45.0,40.0,5.0,5170.577025263834,201342.41348057453,413033.31756202993,2.0513974697232844,46848.65908792381,41901.38719239453,9.060624928130396,7.333133250776983,2.2395869646199595,2.005102571790262,2.0,0.2547546944642303
3,60.0,55.0,5.0,50.0,45.0,5.0,5186.5154048076965,235574.2939405506,413033.31756202993,1.7533038543936497,54771.523646831956,49823.284093255184,10.56037037816583,8.41769486172906,2.618337275387211,2.3836288141176287,2.0,0.2967123082972271
4,60.0,55.0,5.0,55.0,50.0,5.0,5315.443094240466,274302.0722585546,413033.31756202993,1.5057608357136603,63995.076848205754,58935.440343143586,12.0394623201869,9.486929194958721,3.059266640697481,2.818613074943332,2.0,0.34394295073248315
5,60.0,55.0,5.0,60.0,55.0,5.0,5628.657523287927,317496.1938553727,413033.31756202993,1.3009079338764504,74640.85727797008,69287.73094918346,13.260863175482266,10.404486532312632,3.568185178450299,3.3122804806570434,2.0,0.39650836605358203
6,60.0,55.0,5.0,65.0,60.0,5.0,6211.668978830618,363591.0833879331,413033.31756202993,1.1359830766843766,86453.58161777629,80538.4751517421,13.91793122144955,10.98514029635394,4.132889141448001,3.848108493692966,2.0,0.4525405953443006
7,60.0,55.0,5.0,70.0,65.0,5.0,7090.224644478666,417915.0170220471,413033.31756202993,0.9883189182939563,100833.92133837791,94063.98986017313,14.221541120971363,11.372002376028197,4.820337235205028,4.49161007867958,2.0,0.5186566242322264
8,60.0,55.0,5.0,75.0,70.0,5.0,8049.755019636083,478879.3633300302,413033.31756202993,0.86249972162066,117299.38329964675,109594.1328748088,14.57179541657029,11.804261810433383,5.6074640109297365,5.229513891106834,2.0,0.5931981057225506
9,60.0,55.0,5.0,80.0,75.0,5.0,9143.110274890218,547443.0476385918,413033.31756202993,0.754477236205042,136259.765881771,127486.0584389277,14.90299928416942,12.248247955462354,6.513859764870932,6.078421388504705,2.0,0.6775753287798818
10,65.0,60.0,5.0,40.0,35.0,5.0,5970.7947180278425,171349.3802029729,472564.5290990436,2.7579004285820266,39355.93003416922,33606.8842421798,6.591405649124127,5.557901933343482,1.880416637592583,1.6083662132138086,2.0,0.21733553379682277
