index, T_sto_HT [K], T_sto_LT [K], glide_cd [K], T_DH+ [K], T_DH- [K], glide_ev [K], W_dot_cp [W], p_ev [Pa], p_cd [Pa], rp_cp [-], Q_dot_cd [W], Q_dot_ev [W], COP [-], COP_tot [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_exp [-], m_dot_r [kg/s]
1,60.0,50.0,10.0,30.0,20.0,10.0,5137.497214287074,102978.89624916483,384080.4981262238,3.7297010563884223,25443.064280235045,20494.754280922905,4.952423956450896,4.340505289864956,0.6082879135346695,0.4901844436263504,2.0,0.13285000097492794
2,60.0,50.0,10.0,35.0,25.0,10.0,5050.90294637948,124212.50977449185,385988.60037404957,3.107485720035872,30013.468088342117,25153.23008071335,5.94219853498788,5.1625952522033005,0.7175562534572331,0.6018164867471337,2.0,0.15951080651158603
3,60.0,50.0,10.0,40.0,30.0,10.0,4960.435778635239,148220.20540679686,386492.5547527732,2.6075564643297278,35288.33988461075,30525.162653697418,7.113959631651476,6.119152099886377,0.8436668792755113,0.7304411047153693,2.0,0.18941554600533192
4,60.0,50.0,10.0,45.0,35.0,10.0,4898.520600596778,175696.49402390118,387008.0755584647,2.202708014798618,41455.59015445888,36765.970613246165,8.46287961908508,7.203455104816919,0.9911123189274599,0.8797430000144025,2.0,0.22340013349464144
5,60.0,50.0,10.0,50.0,40.0,10.0,4880.85607227163,206965.6810580618,386775.1227066195,1.8687886838500256,48683.827379921735,44024.338769993774,9.97444437185862,8.401844551411553,1.1639236317466488,1.0532371459933871,2.0,0.2618603417816098
6,60.0,50.0,10.0,55.0,45.0,10.0,4948.625884991658,241991.2553722764,386028.69153597875,1.5952175252866758,57001.126276367184,52292.108207652054,11.518576590976886,9.618941985706082,1.3627720226573787,1.2506738834708284,2.0,0.30470889339680046
7,60.0,50.0,10.0,60.0,50.0,10.0,5166.237113647787,281400.57444983395,385102.1031375598,1.3685192501489118,66692.19875051652,61783.37874146951,12.90924076526297,10.730829664694923,1.5944643294599423,1.4771051997445788,2.0,0.35272725616622774
8,60.0,50.0,10.0,65.0,55.0,10.0,5635.426054390387,325541.266656192,383730.323005127,1.1787455610363191,77990.0650279324,72632.45167755846,13.839249113591462,11.530671886251127,1.8645715551301487,1.7356526921383093,2.0,0.4063884098168677
9,60.0,50.0,10.0,70.0,60.0,10.0,6406.906343381911,374083.0403955124,383124.2738338647,1.024169054626997,90856.70222507387,84750.94113380607,14.181056715293701,11.921887578442476,2.172184655842106,2.0240938632770202,2.0,0.4653513111867921
10,60.0,50.0,10.0,75.0,65.0,10.0,7309.625724129345,431852.27652398625,381933.50647201575,0.8844077644935192,106514.73219779077,99530.38366207932,14.571844882041182,12.352911208878128,2.5465338410369993,2.3755109680232636,2.0,0.5357425438268891
11,60.0,50.0,10.0,80.0,70.0,10.0,8347.02110655883,497554.5081876447,380552.3000852369,0.7648454467258443,124760.80702153912,116764.78082020188,14.946746321691453,12.77293028239789,2.9827575074354407,2.7847629956911573,2.0,0.6162088618651339
12,65.0,55.0,10.0,30.0,20.0,10.0,5885.220220749787,103361.50483888673,439170.0512871427,4.248874394502022,25376.8152196446,19692.11948757932,4.311956777789286,3.8414263111618254,0.6064140289440544,0.47098738060147183,2.0,0.13285216383475196
