index, T_sto_HT [K], T_sto_LT [K], glide_cd [K], T_DH+ [K], T_DH- [K], glide_ev [K], W_dot_cp [W], p_ev [Pa], p_cd [Pa], rp_cp [-], Q_dot_cd [W], Q_dot_ev [W], COP [-], COP_tot [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_comp [-], m_dot_r [kg/s]
1,15.0,10.0,5.0,40.0,30.0,10.0,2893.1704358532647,146871.10883807368,96581.2515401954,0.6575919001651771,43133.44169483826,40397.519158704345,14.908710928437639,0.9666781748817344,2.0,0.18925045117802053
2,16.0,10.0,6.0,40.0,30.0,10.0,2893.1704358532647,146871.10883807368,96581.2515401954,0.6575919001651771,43133.44169483826,40397.519158704345,14.908710928437639,0.9666781748817344,2.0,0.18925045117802053
3,17.0,10.0,7.0,40.0,30.0,10.0,2889.6342475334654,146647.09999418058,99529.11999714104,0.6786981808783854,42891.103293758926,40157.81117608457,14.843090723460909,0.9609421673255987,2.0,0.18897078517742474
4,18.0,10.0,8.0,40.0,30.0,10.0,2886.2633940907244,146433.5439387366,102309.49272141994,0.6986752486453729,42654.83813145861,39925.860127736654,14.778567409609682,0.9553917765900191,2.0,0.18870419810012742
5,19.0,10.0,9.0,40.0,30.0,10.0,2884.074741818138,146295.8635784328,105196.03066630744,0.7190636023000697,42444.837634375144,39718.1159463882,14.716968675928857,0.9504206355335775,2.0,0.18853093280755864
6,20.0,10.0,10.0,40.0,30.0,10.0,2882.753683314252,146213.81066013273,108101.11565919388,0.7393358751210578,42254.16091602336,39528.87068110073,14.657568962827403,0.9458921577591276,2.0,0.18842616465849676
7,21.0,10.0,11.0,40.0,30.0,10.0,2882.3324501760353,146189.45515997586,111030.33278772769,0.7594961802561384,42082.9439164267,39358.20817144789,14.600308827615125,0.9418083494761531,2.0,0.18839243797475247
8,22.0,10.0,12.0,40.0,30.0,10.0,2874.9076802758523,145717.06605061953,114899.93987219404,0.7885139536935216,41730.28478499672,39012.97757655265,14.515347769703906,0.9335472758177534,2.0,0.18780559429790786
9,23.0,10.0,13.0,40.0,30.0,10.0,2876.575967611603,145826.6212523561,117818.5282913023,0.8079356655148363,41603.355647199605,38885.38738677003,14.4628044298592,0.9304941514091151,2.0,0.18793684884609524
10,24.0,10.0,14.0,40.0,30.0,10.0,2873.4117965349205,145627.46050433358,121851.89097065595,0.8367370449821852,41338.05578714618,38622.47012055724,14.386401502560894,0.9242027654938314,2.0,0.18768637463969784
11,25.0,10.0,15.0,40.0,30.0,10.0,2872.2788767616626,145558.45583134406,125849.89369606267,0.8646003626328838,41113.53016391681,38399.424876812926,14.313906110074544,0.9188654830658745,2.0,0.1875962847972228
12,26.0,10.0,16.0,40.0,30.0,10.0,2868.511960126085,145320.6580039375,129869.55594177224,0.8936758044286682,40844.89525912549,38134.48019345788,14.239053497734123,0.9125255827877384,2.0,0.18729822039200208
13,27.0,10.0,17.0,40.0,30.0,10.0,2867.557948060181,145263.1479990664,133898.00749367662,0.921761708582394,40630.241292952494,37921.662016992675,14.16893469247506,0.9074330253562083,2.0,0.18722225053178482
14,28.0,10.0,18.0,40.0,30.0,10.0,2865.648518846084,145144.50371945632,138033.5393601798,0.95100769111436,40401.692153977405,37694.69678894337,14.098620918885764,0.9020019410475313,2.0,0.1870708291125384
15,29.0,10.0,19.0,40.0,30.0,10.0,2863.5918857471397,145016.50056496376,142250.1310997011,0.9809237607135376,40173.594124764764,37467.54156304193,14.029092038121583,0.8965663102523184,2.0,0.18690776792376257
16,30.0,10.0,20.0,40.0,30.0,10.0,2860.4156683997244,144817.50193822046,147303.19592098118,1.0171643202616567,39881.57809611263,37181.06041935066,13.942581330644368,0.8897110608486718,2.0,0.18665617453812045
17,20.0,15.0,5.0,40.0,30.0,10.0,2876.0143739568994,145789.38437254683,116440.43225284721,0.798689374771609,41670.28414757741,38951.77414826123,14.488899820846964,0.93208272998451,2.0,0.18789272810887359
18,21.0,15.0,6.0,40.0,30.0,10.0,2876.0143739568994,145789.38437254683,116440.43225284721,0.798689374771609,41670.28414757741,38951.77414826123,14.488899820846964,0.93208272998451,2.0,0.18789272810887359
19,22.0,15.0,7.0,40.0,30.0,10.0,2874.3677277163624,145684.66373235802,117344.87189421013,0.8054716871899994,41593.246300475876,38875.91585686077,14.470398446033563,0.9302675057774846,2.0,0.187762571267048
20,23.0,15.0,8.0,40.0,30.0,10.0,2873.7898230787832,145650.74141222972,120801.34990603366,0.8293905594626135,41400.075166045506,38683.8822183279,14.406090116114434,0.9256723046097205,2.0,0.18771638997759604
21,24.0,15.0,9.0,40.0,30.0,10.0,2869.5700764039116,145383.4600149211,124309.17485870527,0.8550434474867161,41141.62256157784,38429.62590306829,14.337207827709058,0.9195881678630621,2.0,0.18738265400600929
22,25.0,15.0,10.0,40.0,30.0,10.0,2867.1842826270577,145234.5396878434,128727.05479394502,0.8863391247744622,40876.61408280993,38167.23686571051,14.256709738014026,0.9133094220137061,2.0,0.18719357379663892
23,26.0,15.0,11.0,40.0,30.0,10.0,2867.7650716970206,145274.9918363596,132313.96963970337,0.9107828399587469,40713.04572366541,38003.34323372835,14.196785547559923,0.9093875871996215,2.0,0.18723885478234883
24,27.0,15.0,12.0,40.0,30.0,10.0,2866.0144958046594,145166.10608043772,135939.47678658023,0.9364408845633364,40508.955477502044,37800.81890654387,14.134246542297683,0.9045413528008526,2.0,0.1871001155264906
