index, T_sto_HT [K], T_sto_LT [K], glide [K], W_dot_exp [W], p_ev [Pa], p_cd [Pa], rp_exp [-], Q_dot_cd [W], Q_dot_ev [W], eta_ORC [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], T_tap [K], Nb_exp [-], m_dot_r [kg/s]
27,45.0,335.15,17.0,-1283.511810171468,152540.9827194025,113676.2705452308,1.3418894021396293,27769.01189546791,27074.003649093553,-0.04740753627749623,0.39079333395401517,0.38109437700926285,20.0,3.0,0.1295881341466604
28,45.0,337.15,19.0,-427.3070509544639,144202.8944490154,113226.76531755232,1.2735760316440057,9228.7343582503,8986.541846419332,-0.04754966462708049,0.11621128352266219,0.11317943430701574,20.0,1.0,0.04324381010314838
29,45.0,337.15,19.0,-854.5982334207251,144020.42439656513,113220.14500515681,1.2720388619004637,18456.813941610435,17979.649913792717,-0.04753141676941873,0.23241432190276737,0.22644156573888946,20.0,2.0,0.08649250278882176
30,45.0,337.15,19.0,-1281.7306420887107,143932.53778770994,113171.73182216944,1.2718064438023797,27673.315050524703,26961.87456078493,-0.047538632345428294,0.3484715602929329,0.33956662783050773,20.0,3.0,0.12968884340555253
31,50.0,324.15,1.0,-272.8302642534741,246197.11622548164,133060.57631059366,1.8502634142422587,11858.561475572476,11773.097807663853,-0.023174042100955933,2.8346676824833676,2.8158740268458597,20.0,1.0,0.05526690835868461
32,50.0,324.15,1.0,-551.8717241504374,245768.14349100788,133097.89895124952,1.8465215861974402,23678.513093322836,23554.80272866091,-0.023429265381999288,5.660106073840735,5.633806691722002,20.0,2.0,0.1103486110601679
33,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
34,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36,50.0,326.15,3.0,292.94552972347697,272193.5343397017,114478.38426552463,2.3776849759546552,39457.81700872969,40318.75527353512,0.00726573843205333,3.144468117130601,3.2146679239258926,20.0,3.0,0.18262792524525936
37,50.0,328.15,5.0,0.9435768492659236,258284.21184697928,115319.25797453435,2.2397318226242446,12515.448160972357,12679.76721728713,7.4415944164928e-05,0.5985091444195852,0.6066211620827551,20.0,1.0,0.05787632563930953
38,50.0,328.15,5.0,68.18849069519365,262303.3890253218,114608.4297523418,2.2886919364669347,25389.536930364127,25812.45944357997,0.0026416890201508237,1.214169067695702,1.2349110102376644,20.0,2.0,0.11748692892166904
39,50.0,328.15,5.0,99.55372506568551,262198.186012591,114630.78366297581,2.2873278680836364,38070.32778969859,38740.654911005484,0.002569748118465705,1.8205851696337019,1.8534173931774451,20.0,3.0,0.17616230918032175
40,50.0,330.15,7.0,-29.802534208795066,252231.2881899902,114672.44275665197,2.1995806675650384,12229.080925457132,12346.44698521738,-0.0024138551151175855,0.4177757849232517,0.42193393387186273,20.0,1.0,0.056570116235099326
41,50.0,330.15,7.0,-62.11968127678108,251979.79649747215,114643.80759258993,2.1979363891413444,24434.353325582724,24735.452646524725,-0.0025113622202304333,0.8347382114740403,0.8453222901896743,20.0,2.0,0.11303166224267684
