index, T_sto_HT [K], T_sto_LT [K], glide_ev [K], T_tap_in [K], T_tap_out [K], glide_cd [K], W_dot_exp [W], p_ev [Pa], p_cd [Pa], rp [-], Q_dot_cd [W], Q_dot_ev [W], eta_ORC [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], Nb_exp [-], m_dot_r [kg/s]
1,50.0,40.0,5.0,20.0,25.0,10.0,-942.6801827312502,235883.92951949022,151702.08696041835,0.0,23722.79881602718,23259.019482818218,-0.04052966133966318,2.0,0.11171573592973857
2,50.0,40.0,7.0,20.0,27.0,10.0,-942.5364384712768,224937.0087218462,151664.353183544,0.0,23720.485387224046,23250.200727068615,-0.04053885166565234,2.0,0.11220101475668073
3,50.0,40.0,9.0,20.0,29.0,10.0,-943.4812853750495,214033.3034830339,152108.93896956343,0.0,23781.140376665342,23302.920500484535,-0.04048768416625855,2.0,0.11308352055929285
4,50.0,40.0,11.0,20.0,31.0,10.0,-944.3165571485711,203136.08223451884,152507.86156903557,0.0,23840.72533264655,23352.81388271238,-0.04043694956382236,2.0,0.11396449666333143
5,50.0,40.0,13.0,20.0,33.0,10.0,-944.3937602314309,191642.61624418176,152576.5145955922,0.0,23855.146326850776,23355.97842210781,-0.04043477619149992,2.0,0.1146594328929398
6,50.0,40.0,15.0,20.0,35.0,10.0,-945.0587094388374,180216.14184402378,152908.28397381757,0.0,23904.75158447898,23393.028347486783,-0.04039916061318197,2.0,0.1156004071998522
7,50.0,40.0,17.0,20.0,37.0,10.0,-946.0592743371684,168983.32054549738,153392.18649678232,0.0,23975.67201251474,23448.550216044212,-0.04034617345723344,2.0,0.1167005231887597
8,50.0,40.0,19.0,20.0,39.0,10.0,-946.1449985656768,158106.63956172162,153473.98081615445,0.0,23993.479044980973,23450.257886465082,-0.0403468909871464,2.0,0.11751289590840443
9,55.0,45.0,5.0,20.0,25.0,10.0,-586.4834650996062,276277.01193710323,151811.7478227014,0.0,26249.99305974154,26121.950973382034,-0.022451748175211953,2.0,0.12350476489057582
10,55.0,45.0,7.0,20.0,27.0,10.0,-715.6693883154029,265146.2949845427,151331.74614367005,0.0,25245.361876406925,24999.600086650855,-0.02862723346912865,2.0,0.11870838259432091
11,55.0,45.0,9.0,20.0,29.0,10.0,-869.5151723059938,253269.08516583557,151543.85496747543,0.0,24212.753876992017,23822.150502461278,-0.036500280367893594,2.0,0.11358606408517259
12,55.0,45.0,11.0,20.0,31.0,10.0,-943.4411655062652,240688.33275763065,152026.85734884985,0.0,23765.422035306292,23303.741344066853,-0.04048453643459555,2.0,0.11174552231729791
13,55.0,45.0,13.0,20.0,33.0,10.0,-943.1747034290277,228716.7647554542,151936.8239256027,0.0,23756.024852532864,23287.752636855934,-0.0405008898083334,2.0,0.11222925106378995
14,55.0,45.0,15.0,20.0,35.0,10.0,-944.0895315308583,216132.72276076357,152371.94723245275,0.0,23818.410310606785,23340.954069708456,-0.04044776956037473,2.0,0.11317977724575114
15,55.0,45.0,17.0,20.0,37.0,10.0,-944.3541575429574,203438.69481818308,152523.60429236566,0.0,23842.357551816553,23354.971008039614,-0.040434824655439607,2.0,0.1139603575774467
16,55.0,45.0,19.0,20.0,39.0,10.0,-944.3519394261248,191487.7461631887,152558.51030005905,0.0,23852.74460956969,23353.459276710873,-0.04043734712860614,2.0,0.11465429378052966
17,60.0,50.0,5.0,20.0,25.0,10.0,-40.449705511841785,320377.10441949393,152236.81761752424,0.0,30204.38700201274,30583.780707629943,-0.001322586827917927,2.0,0.1424858297722089
18,60.0,50.0,7.0,20.0,27.0,10.0,-174.9890093965547,309867.2269370316,152324.984231399,0.0,29255.600207012052,29510.080181034984,-0.005929804606529451,2.0,0.13796511351070403
19,60.0,50.0,9.0,20.0,29.0,10.0,-318.6994715875409,297355.5261966251,151699.58422380814,0.0,28116.014602453957,28239.281577718095,-0.011285679159734975,2.0,0.13258097603190902
20,60.0,50.0,11.0,20.0,31.0,10.0,-489.3342703510475,283889.35000543593,151749.69791838556,0.0,26931.58687080289,26893.29115333229,-0.01819540299330062,2.0,0.12678305473133583
21,60.0,50.0,13.0,20.0,33.0,10.0,-664.1028409450577,270441.3955536027,152002.32520732188,0.0,25730.90775712641,25531.09351440935,-0.026011531412481352,2.0,0.12099056569927977
22,60.0,50.0,15.0,20.0,35.0,10.0,-824.413583017372,256772.35291301023,151492.83222250137,0.0,24524.284127923544,24174.981910879455,-0.03410193174317792,2.0,0.11509742068931572
23,60.0,50.0,17.0,20.0,37.0,10.0,-942.0136424183145,243137.23085589372,151392.2632933124,0.0,23679.138373943635,23219.605484368032,-0.04056975227475331,2.0,0.11115319638612826
24,60.0,50.0,19.0,20.0,39.0,10.0,-943.348251613804,229731.46150724028,152010.96646680878,0.0,23765.745307607915,23297.99871686247,-0.04049052723704692,2.0,0.11223801793470262
25,65.0,55.0,5.0,20.0,25.0,10.0,582.3378836060418,369644.5042139606,152245.3550731314,0.0,34692.03690341748,35648.90685182495,0.0163353643921407,2.0,0.1636600214863062
26,65.0,55.0,7.0,20.0,27.0,10.0,461.5776473272556,360050.7635521513,152212.22754405334,0.0,33813.39969319347,34658.4604850034,0.013317892395335294,2.0,0.15953839794476488
27,65.0,55.0,9.0,20.0,29.0,10.0,279.6196961989813,345634.0071328171,152191.85356494307,0.0,32497.40365136293,33173.80626128666,0.008428930162448476,2.0,0.15334359171280793
28,65.0,55.0,11.0,20.0,31.0,10.0,96.61951410917254,331191.2612769123,152212.7783856032,0.0,31184.379863644917,31690.992819895106,0.003048800479627648,2.0,0.14713570006370064
